Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Prob Mov00,Prob Mov01,Prob Mov02,Prob Mov03,Prob Mov04
-0.7207,-0.0359,8.8885,-0.004,0.0019,0.0354,27.43,Mov00,Mov00,0.973437,0.007411,0.007813,0.005858,0.00548
-0.7219,-0.0335,8.8837,-0.004,0.0013,0.0354,27.43,Mov00,Mov00,0.973436,0.007369,0.007817,0.005874,0.005504
-0.7207,-0.0347,8.8897,-0.0043,0.0013,0.0357,27.4359,Mov00,Mov00,0.97352,0.007323,0.007786,0.00586,0.005511
-0.7183,-0.0275,8.8909,-0.004,0.0016,0.0357,27.43,Mov00,Mov00,0.97362,0.007305,0.007777,0.005827,0.005471
-0.723,-0.0275,8.8885,-0.0043,0.0013,0.0357,27.4241,Mov00,Mov00,0.973502,0.007308,0.007811,0.005869,0.00551
-0.7159,-0.0299,8.8885,-0.0043,0.0016,0.0357,27.4212,Mov00,Mov00,0.973463,0.007344,0.007817,0.005858,0.005519
-0.7171,-0.0251,8.8992,-0.0043,0.0016,0.0357,27.4153,Mov00,Mov00,0.97361,0.007291,0.007789,0.005824,0.005486
-0.7171,-0.0335,8.904,-0.0043,0.0016,0.0354,27.4212,Mov00,Mov00,0.973558,0.007344,0.007787,0.005826,0.005486
-0.7111,-0.0311,8.9064,-0.0045,0.0011,0.0354,27.4153,Mov00,Mov00,0.973525,0.0073,0.007802,0.005832,0.00554
-0.7135,-0.0323,8.9088,-0.004,0.0013,0.0354,27.4182,Mov00,Mov00,0.973773,0.007275,0.007726,0.005775,0.00545
-0.7183,-0.0335,8.9052,-0.0043,0.0019,0.0357,27.43,Mov00,Mov00,0.973666,0.007316,0.007751,0.005807,0.00546
-0.7171,-0.0275,8.9088,-0.0043,0.0019,0.0354,27.43,Mov00,Mov00,0.973588,0.007337,0.007797,0.005811,0.005467
-0.7147,-0.0168,8.9064,-0.0037,0.0019,0.0352,27.43,Mov00,Mov00,0.973667,0.007324,0.007808,0.00578,0.005421
-0.7147,-0.0239,8.9076,-0.0035,0.0019,0.0354,27.43,Mov00,Mov00,0.973931,0.007266,0.007704,0.005731,0.005368
-0.7147,-0.0215,8.9028,-0.0037,0.0013,0.0354,27.4271,Mov00,Mov00,0.973808,0.007247,0.007745,0.005771,0.005429
-0.7111,-0.0287,8.9004,-0.004,0.0011,0.0357,27.4271,Mov00,Mov00,0.973809,0.007223,0.007718,0.00578,0.005471
-0.7111,-0.0239,8.8969,-0.004,0.0019,0.0354,27.43,Mov00,Mov00,0.973536,0.007352,0.007819,0.005815,0.005477
-0.7051,-0.0204,8.8909,-0.0048,0.0019,0.0357,27.4329,Mov00,Mov00,0.973199,0.007386,0.007924,0.005888,0.005603
-0.7063,-0.0263,8.8825,-0.0045,0.0013,0.0357,27.4329,Mov00,Mov00,0.973276,0.007356,0.00788,0.005888,0.005599
-0.7087,-0.0227,8.8885,-0.0045,0.0016,0.0354,27.4359,Mov00,Mov00,0.973202,0.0074,0.00792,0.005892,0.005585
