Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Resultado Inferencia
-1.0858,0.0084,8.8933,-0.0043,-0.0003,0.036,28.38,Mov00,Mov00,0.996094
-1.0906,0.0096,8.8873,-0.0045,0.0021,0.0354,28.3771,Mov00,Mov00,0.996094
-1.0953,0.0096,8.8933,-0.0043,0.0019,0.0354,28.3829,Mov00,Mov00,0.996094
-1.0882,0.0144,8.8933,-0.0048,0.0011,0.0357,28.38,Mov00,Mov00,0.996094
-1.087,0.018,8.8957,-0.0043,0.0008,0.0354,28.3771,Mov00,Mov00,0.996094
-1.0798,0.0239,8.8837,-0.0048,-0.0011,0.0357,28.3771,Mov00,Mov00,0.996094
-1.0738,0.0144,8.8777,-0.0045,-0.0011,0.0354,28.3741,Mov00,Mov00,0.996094
-1.0738,0.0192,8.8741,-0.0045,0.0027,0.0352,28.3682,Mov00,Mov00,0.996094
-1.0798,0.0192,8.8777,-0.0043,0.004,0.0352,28.3771,Mov00,Mov00,0.996094
-1.0894,0.0144,8.8885,-0.0043,0.0027,0.0354,28.3741,Mov00,Mov00,0.996094
-1.0918,0.0192,8.9028,-0.0043,-0.0027,0.0352,28.3712,Mov00,Mov00,0.996094
-1.0846,0.0168,8.8992,-0.004,-0.0056,0.0354,28.38,Mov00,Mov00,0.996094
-1.0702,0.012,8.8909,-0.0043,-0.0024,0.0354,28.38,Mov00,Mov00,0.996094
-1.069,0.0204,8.8873,-0.0045,0.0016,0.0354,28.3712,Mov00,Mov00,0.996094
-1.0738,0.0192,8.9076,-0.0045,0.004,0.0357,28.3712,Mov00,Mov00,0.996094
-1.075,0.0192,8.9148,-0.0043,0.0027,0.0357,28.3741,Mov00,Mov00,0.996094
-1.0774,0.0263,8.9076,-0.0045,-0.0019,0.0357,28.3712,Mov00,Mov00,0.996094
-1.069,0.0156,8.8992,-0.0048,-0.0043,0.0357,28.3712,Mov00,Mov00,0.996094
-1.0654,0.0108,8.8897,-0.0045,-0.0016,0.0357,28.3712,Mov00,Mov00,0.996094
-1.069,0.0132,8.8969,-0.0043,0.004,0.036,28.3712,Mov00,Mov00,0.996094
